,Date,death_cnt,hosp_cnt,ill_cnt
1159,2020-01-05,0,0,1
1154,2020-01-06,0,0,1
1153,2020-01-10,0,1,1
1152,2020-01-11,0,0,1
1144,2020-02-02,0,0,1
1131,2020-02-08,1,1,1
1157,2020-02-16,0,0,1
1137,2020-02-18,0,0,1
1158,2020-02-21,0,0,1
1156,2020-02-23,0,0,2
1150,2020-02-24,0,0,1
1142,2020-02-27,1,2,2
1114,2020-02-28,0,1,1
984,2020-02-29,0,0,3
1123,2020-03-01,1,3,5
982,2020-03-02,0,0,3
1130,2020-03-03,2,2,4
1138,2020-03-04,0,1,3
1133,2020-03-05,2,2,3
552,2020-03-06,1,2,8
484,2020-03-07,0,3,11
113,2020-03-08,2,6,14
1089,2020-03-09,3,8,26
1097,2020-03-10,4,10,29
910,2020-03-11,3,4,27
1085,2020-03-12,4,7,38
513,2020-03-13,8,12,47
986,2020-03-14,2,10,52
1049,2020-03-15,2,8,56
336,2020-03-16,10,20,93
1036,2020-03-17,9,18,88
996,2020-03-18,8,21,93
592,2020-03-19,4,11,63
100,2020-03-20,8,26,78
231,2020-03-21,5,12,62
983,2020-03-22,3,9,55
604,2020-03-23,9,23,111
442,2020-03-24,9,17,86
426,2020-03-25,6,15,61
412,2020-03-26,9,18,67
1043,2020-03-27,8,21,75
371,2020-03-28,6,14,74
668,2020-03-29,9,24,70
439,2020-03-30,10,38,99
599,2020-03-31,7,20,68
341,2020-04-01,12,26,89
84,2020-04-02,5,17,64
394,2020-04-03,5,16,69
1070,2020-04-04,6,12,43
1083,2020-04-05,8,17,63
235,2020-04-06,9,20,78
73,2020-04-07,5,19,58
605,2020-04-08,5,10,58
339,2020-04-09,3,11,56
1039,2020-04-10,10,18,67
911,2020-04-11,5,11,49
722,2020-04-12,5,11,56
937,2020-04-13,9,19,72
652,2020-04-14,4,12,51
1051,2020-04-15,5,13,69
387,2020-04-16,6,17,56
436,2020-04-17,5,9,73
1065,2020-04-18,4,10,56
1064,2020-04-19,5,18,65
1073,2020-04-20,3,15,78
662,2020-04-21,3,9,58
1090,2020-04-22,4,8,63
585,2020-04-23,9,18,67
251,2020-04-24,4,16,64
290,2020-04-25,8,15,68
1079,2020-04-26,6,15,50
424,2020-04-27,8,18,81
660,2020-04-28,4,9,61
249,2020-04-29,6,11,63
274,2020-04-30,5,15,72
1025,2020-05-01,6,16,79
1019,2020-05-02,2,10,44
985,2020-05-03,3,10,51
560,2020-05-04,5,14,63
28,2020-05-05,4,13,67
718,2020-05-06,3,8,48
719,2020-05-07,3,6,50
1068,2020-05-08,6,17,56
1087,2020-05-09,2,6,41
551,2020-05-10,6,7,40
586,2020-05-11,4,12,75
590,2020-05-12,3,6,61
715,2020-05-13,3,12,73
587,2020-05-14,8,14,64
651,2020-05-15,3,8,53
761,2020-05-16,3,7,34
1092,2020-05-17,2,6,45
730,2020-05-18,4,10,65
1058,2020-05-19,0,7,61
1047,2020-05-20,3,5,54
353,2020-05-21,2,7,38
1030,2020-05-22,2,9,49
975,2020-05-23,3,7,42
1105,2020-05-24,0,7,43
1050,2020-05-25,2,8,47
299,2020-05-26,4,7,53
64,2020-05-27,4,7,44
330,2020-05-28,2,8,61
899,2020-05-29,3,6,46
176,2020-05-30,2,4,58
1040,2020-05-31,0,4,42
459,2020-06-01,2,11,86
865,2020-06-02,1,5,56
949,2020-06-03,2,6,65
928,2020-06-04,1,4,52
641,2020-06-05,2,4,65
798,2020-06-06,0,3,54
1006,2020-06-07,3,4,42
109,2020-06-08,1,11,87
323,2020-06-09,2,4,74
1057,2020-06-10,3,5,79
365,2020-06-11,2,8,65
483,2020-06-12,2,8,75
1093,2020-06-13,2,3,66
1072,2020-06-14,0,7,72
29,2020-06-15,3,13,131
611,2020-06-16,6,10,141
481,2020-06-17,1,5,135
224,2020-06-18,4,6,126
169,2020-06-19,3,7,121
470,2020-06-20,3,8,135
803,2020-06-21,1,8,144
920,2020-06-22,3,9,260
834,2020-06-23,1,7,221
515,2020-06-24,2,7,223
858,2020-06-25,3,11,189
469,2020-06-26,2,12,148
322,2020-06-27,2,8,159
650,2020-06-28,2,13,200
96,2020-06-29,1,14,250
1024,2020-06-30,1,10,230
453,2020-07-01,6,14,229
1001,2020-07-02,2,5,170
184,2020-07-03,4,9,160
377,2020-07-04,3,13,181
14,2020-07-05,2,13,223
1041,2020-07-06,2,8,291
306,2020-07-07,5,10,255
697,2020-07-08,1,13,240
538,2020-07-09,3,10,189
345,2020-07-10,3,12,204
628,2020-07-11,1,10,159
647,2020-07-12,3,12,162
10,2020-07-13,1,12,216
504,2020-07-14,3,10,222
736,2020-07-15,1,9,171
198,2020-07-16,6,17,157
897,2020-07-17,4,13,171
9,2020-07-18,2,6,145
350,2020-07-19,1,9,120
238,2020-07-20,3,18,197
606,2020-07-21,3,15,184
23,2020-07-22,4,13,156
239,2020-07-23,5,15,143
283,2020-07-24,1,10,133
670,2020-07-25,5,8,132
205,2020-07-26,6,9,117
124,2020-07-27,2,13,147
27,2020-07-28,4,11,141
680,2020-07-29,3,8,133
577,2020-07-30,2,6,106
516,2020-07-31,2,11,122
1003,2020-08-01,0,2,102
0,2020-08-02,3,12,104
953,2020-08-03,0,7,137
244,2020-08-04,1,9,140
676,2020-08-05,3,8,121
142,2020-08-06,0,7,102
843,2020-08-07,0,4,120
808,2020-08-08,0,6,101
961,2020-08-09,2,7,100
420,2020-08-10,1,8,136
170,2020-08-11,2,6,138
833,2020-08-12,3,12,126
163,2020-08-13,2,11,116
185,2020-08-14,4,10,107
594,2020-08-15,0,7,112
277,2020-08-16,0,5,147
263,2020-08-17,3,9,181
716,2020-08-18,0,10,181
950,2020-08-19,2,4,173
279,2020-08-20,2,7,160
495,2020-08-21,3,9,178
671,2020-08-22,0,6,157
33,2020-08-23,2,9,248
241,2020-08-24,1,4,321
343,2020-08-25,4,6,247
617,2020-08-26,2,9,214
480,2020-08-27,1,4,175
791,2020-08-28,3,8,194
490,2020-08-29,2,7,169
192,2020-08-30,2,11,176
762,2020-08-31,1,7,233
138,2020-09-01,3,12,250
677,2020-09-02,4,8,188
630,2020-09-03,2,10,171
112,2020-09-04,5,12,171
229,2020-09-05,3,9,145
161,2020-09-06,1,6,157
512,2020-09-07,2,10,187
597,2020-09-08,4,8,187
363,2020-09-09,2,9,209
348,2020-09-10,1,4,146
425,2020-09-11,3,7,178
629,2020-09-12,2,8,130
479,2020-09-13,1,5,135
89,2020-09-14,3,10,216
543,2020-09-15,1,4,204
156,2020-09-16,2,5,190
304,2020-09-17,1,3,141
243,2020-09-18,2,9,162
434,2020-09-19,4,13,149
303,2020-09-20,2,5,181
132,2020-09-21,0,12,231
666,2020-09-22,0,8,201
267,2020-09-23,4,14,179
182,2020-09-24,3,8,157
126,2020-09-25,4,10,160
657,2020-09-26,2,7,163
395,2020-09-27,1,6,166
342,2020-09-28,1,12,205
320,2020-09-29,2,7,206
209,2020-09-30,1,9,188
16,2020-10-01,2,13,190
219,2020-10-02,1,2,218
130,2020-10-03,2,10,189
503,2020-10-04,1,7,193
