,Date,death_cnt,hosp_cnt,ill_cnt
1152,2020/01/01,0,0,23
1157,2020/01/02,0,1,21
1182,2020/01/03,0,2,20
1171,2020/01/04,0,0,22
1178,2020/01/05,0,0,17
1116,2020/01/06,0,1,19
1120,2020/01/07,0,1,13
1188,2020/01/08,0,1,12
1167,2020/01/09,0,0,15
1165,2020/01/10,0,1,22
1164,2020/01/11,0,1,14
1175,2020/01/12,0,0,15
1170,2020/01/13,0,0,12
1156,2020/01/14,0,0,20
1162,2020/01/15,0,0,14
1163,2020/01/16,0,1,27
1172,2020/01/17,0,0,30
1118,2020/01/18,0,0,21
1153,2020/01/19,0,0,15
1168,2020/01/20,0,1,19
1159,2020/01/21,1,0,15
1154,2020/01/22,0,0,10
1173,2020/01/23,0,0,16
1117,2020/01/24,0,0,20
1196,2020/01/25,0,0,6
1119,2020/01/26,0,0,8
1176,2020/01/27,0,0,5
1166,2020/01/28,0,0,6
1186,2020/01/29,0,0,8
1169,2020/01/30,0,0,11
1185,2020/01/31,0,0,8
1189,2020/02/01,1,4,8
1174,2020/02/02,0,0,6
1177,2020/02/03,0,1,3
1203,2020/02/04,0,0,1
1180,2020/02/05,0,0,1
1103,2020/02/06,1,1,5
1205,2020/02/07,0,0,1
1195,2020/02/08,1,1,2
1184,2020/02/09,0,0,4
1197,2020/02/10,0,0,2
1181,2020/02/11,0,0,3
1198,2020/02/12,0,0,1
1187,2020/02/13,0,0,4
1204,2020/02/14,0,0,1
1183,2020/02/15,0,0,4
1200,2020/02/16,0,1,6
1158,2020/02/17,0,0,2
1190,2020/02/18,0,1,4
1202,2020/02/19,0,0,1
1192,2020/02/20,0,0,1
1193,2020/02/21,1,2,5
1194,2020/02/22,0,0,8
1155,2020/02/23,0,1,7
1201,2020/02/24,0,0,2
1091,2020/02/25,0,1,8
1199,2020/02/26,0,1,7
1191,2020/02/27,3,6,13
968,2020/02/28,0,5,12
1161,2020/02/29,1,3,9
1061,2020/03/01,3,8,38
1160,2020/03/02,1,8,22
768,2020/03/03,3,5,18
1179,2020/03/04,2,5,25
1104,2020/03/05,4,9,30
1080,2020/03/06,3,8,39
1129,2020/03/07,3,14,46
618,2020/03/08,4,12,56
1142,2020/03/09,8,26,112
1021,2020/03/10,12,34,140
1084,2020/03/11,9,27,136
1068,2020/03/12,11,28,176
473,2020/03/13,16,40,246
1062,2020/03/14,16,46,231
1071,2020/03/15,19,60,362
1079,2020/03/16,25,71,450
851,2020/03/17,23,75,479
646,2020/03/18,37,88,466
1073,2020/03/19,29,82,373
579,2020/03/20,24,99,469
1042,2020/03/21,31,78,374
169,2020/03/22,26,77,345
1026,2020/03/23,38,123,543
1060,2020/03/24,46,105,465
1070,2020/03/25,41,119,465
818,2020/03/26,45,109,404
970,2020/03/27,46,116,432
766,2020/03/28,34,107,429
1139,2020/03/29,39,117,371
237,2020/03/30,47,137,531
993,2020/03/31,46,111,407
983,2020/04/01,57,137,525
510,2020/04/02,37,115,383
1077,2020/04/03,32,97,401
528,2020/04/04,47,98,368
976,2020/04/05,43,93,394
985,2020/04/06,54,126,469
434,2020/04/07,50,105,404
658,2020/04/08,35,85,404
898,2020/04/09,32,79,362
419,2020/04/10,49,113,429
395,2020/04/11,37,95,338
1020,2020/04/12,36,74,337
1025,2020/04/13,49,111,469
486,2020/04/14,43,84,374
452,2020/04/15,46,92,438
850,2020/04/16,36,83,367
267,2020/04/17,29,82,407
1137,2020/04/18,34,72,352
