,Date,Traffic_volume
0,2015-10-27,51984
1,2015-10-28,147382
2,2015-10-29,74105
3,2015-10-30,52507
4,2015-10-31,62375
5,2015-11-01,29978
6,2015-11-02,46063
7,2015-11-03,56855
8,2015-11-04,58345
9,2015-11-05,56928
10,2015-11-06,51270
11,2015-11-07,36757
12,2015-11-08,29527
13,2015-11-09,45028
14,2015-11-10,47645
15,2015-11-11,71844
16,2015-11-12,58981
17,2015-11-13,43948
18,2015-11-14,42169
19,2015-11-15,36704
20,2015-11-16,65592
21,2015-11-17,123535
22,2015-11-18,85534
23,2015-11-19,47523
24,2015-11-20,47333
25,2015-11-21,40891
26,2015-11-22,32785
27,2015-11-23,44802
28,2015-11-24,46900
29,2015-11-25,44851
30,2015-11-26,44366
31,2015-11-27,35319
32,2015-11-28,39343
33,2015-11-29,33291
34,2015-11-30,72764
35,2015-12-01,74086
36,2015-12-02,62009
37,2015-12-03,45504
38,2015-12-04,50438
39,2015-12-05,39395
40,2015-12-06,49659
41,2015-12-07,44496
42,2015-12-08,68873
43,2015-12-09,52903
44,2015-12-10,63938
45,2015-12-11,53747
46,2015-12-12,52586
47,2015-12-13,52687
48,2015-12-14,91107
49,2015-12-15,70435
50,2015-12-16,135646
51,2015-12-17,54523
52,2015-12-18,49323
53,2015-12-19,41621
54,2015-12-20,39614
55,2015-12-21,48841
56,2015-12-22,49774
57,2015-12-23,98009
58,2015-12-24,36409
59,2015-12-25,31185
60,2015-12-26,39910
61,2015-12-27,42881
62,2015-12-28,56006
63,2015-12-29,68445
64,2015-12-30,54867
65,2015-12-31,92566
66,2016-01-01,34489
67,2016-01-02,41018
68,2016-01-03,28628
69,2016-01-04,81891
70,2016-01-05,61120
71,2016-01-06,68060
72,2016-01-07,102699
73,2016-01-08,99571
74,2016-01-09,46046
75,2016-01-10,34739
76,2016-01-11,67130
77,2016-01-12,47629
78,2016-01-13,51375
79,2016-01-14,79656
80,2016-01-15,61431
81,2016-01-16,51271
82,2016-01-17,34103
83,2016-01-18,43219
84,2016-01-19,45533
85,2016-01-20,97562
86,2016-01-21,113087
87,2016-01-22,58460
88,2016-01-23,46446
89,2016-01-24,58814
90,2016-01-25,104512
91,2016-01-26,49374
92,2016-01-27,53758
93,2016-01-28,65632
94,2016-01-29,82128
95,2016-01-30,32801
96,2016-01-31,38879
97,2016-02-01,102707
98,2016-02-02,71441
99,2016-02-03,66048
100,2016-02-04,75612
101,2016-02-05,119502
102,2016-02-06,85190
103,2016-02-07,68890
104,2016-02-08,117356
105,2016-02-09,83461
106,2016-02-10,60681
107,2016-02-11,65421
108,2016-02-12,69821
109,2016-02-13,54431
110,2016-02-14,52091
111,2016-02-15,71273
112,2016-02-16,79897
113,2016-02-17,54927
114,2016-02-18,48940
115,2016-02-19,84335
116,2016-02-20,43201
117,2016-02-21,38463
118,2016-02-22,57867
119,2016-02-23,127911
120,2016-02-24,46501
121,2016-02-25,62288
122,2016-02-26,56925
123,2016-02-27,41566
124,2016-02-28,38894
125,2016-02-29,47722
126,2016-03-01,54202
127,2016-03-02,45276
128,2016-03-03,43727
129,2016-03-04,80536
130,2016-03-05,38739
131,2016-03-06,33134
132,2016-03-07,61573
133,2016-03-08,44002
134,2016-03-09,79447
135,2016-03-10,52554
136,2016-03-11,57657
137,2016-03-12,52240
138,2016-03-13,50257
139,2016-03-14,108333
140,2016-03-15,135296
141,2016-03-16,72335
142,2016-03-17,95981
143,2016-03-18,83733
144,2016-03-19,57361
145,2016-03-20,38096
146,2016-03-21,59292
147,2016-03-22,58854
148,2016-03-23,84653
149,2016-03-24,55785
150,2016-03-25,62836
151,2016-03-26,65164
152,2016-03-27,42426
153,2016-03-28,57956
154,2016-03-29,66633
155,2016-03-30,105359
156,2016-03-31,79663
157,2016-04-01,75700
158,2016-04-02,49548
159,2016-04-03,37607
160,2016-04-04,59255
161,2016-04-05,107032
162,2016-04-06,91646
163,2016-04-07,131987
164,2016-04-08,105770
165,2016-04-09,62106
166,2016-04-10,45928
167,2016-04-11,57311
168,2016-04-12,65649
169,2016-04-13,68584
170,2016-04-14,88261
171,2016-04-15,79152
172,2016-04-16,66198
173,2016-04-17,48009
174,2016-04-18,91588
175,2016-04-19,116792
176,2016-04-20,147308
177,2016-04-21,152990
178,2016-04-22,82751
179,2016-04-23,62076
180,2016-04-24,169783
181,2016-04-25,164986
182,2016-04-26,57968
183,2016-04-27,53758
184,2016-04-28,176139
185,2016-04-29,102578
186,2016-04-30,75002
187,2016-05-01,63839
188,2016-05-02,82915
189,2016-05-03,88410
190,2016-05-04,91614
191,2016-05-05,95033
192,2016-05-06,91944
193,2016-05-07,86695
194,2016-05-08,65838
195,2016-05-09,105318
196,2016-05-10,167125
197,2016-05-11,187722
198,2016-05-12,101626
199,2016-05-13,132051
200,2016-05-14,67453
201,2016-05-15,64367
202,2016-05-16,78950
203,2016-05-17,87076
204,2016-05-18,86809
205,2016-05-19,89380
206,2016-05-20,92243
207,2016-05-21,73943
208,2016-05-22,62447
209,2016-05-23,102160
210,2016-05-24,99343
211,2016-05-25,112646
212,2016-05-26,103555
213,2016-05-27,153700
214,2016-05-28,119870
215,2016-05-29,64935
216,2016-05-30,59487
217,2016-05-31,102493
218,2016-06-01,89209
219,2016-06-02,89861
220,2016-06-03,132792
221,2016-06-04,99491
222,2016-06-05,65472
223,2016-06-06,91141
224,2016-06-07,90583
225,2016-06-08,93349
226,2016-06-09,91163
227,2016-06-10,92121
228,2016-06-11,68692
229,2016-06-12,61953
230,2016-06-13,85530
231,2016-06-14,86753
232,2016-06-15,92039
233,2016-06-16,94233
234,2016-06-17,93219
235,2016-06-18,82409
236,2016-06-19,72216
237,2016-06-20,87516
238,2016-06-21,90541
239,2016-06-22,92755
240,2016-06-23,95360
241,2016-06-24,103459
242,2016-06-25,72498
243,2016-06-26,61143
244,2016-06-27,78893
245,2016-06-28,82587
246,2016-06-29,82260
247,2016-06-30,84901
248,2016-07-01,79556
249,2016-07-02,56401
250,2016-07-03,51552
251,2016-07-04,46678
